S,CdTe_0.5Se_0.5,M_Te,0.261,0.261,0.262,0.021,0.047,0.052,0.040,0.000,-0.026,-0.032,-0.010,0.006,-0.009,0.002,0.009,-0.029,0.000,0.009,0.018,0.003,0.003,0.003
Al,CdTe_0.5Se_0.5,M_Cd,0.502,0.996,1.489,0.021,0.038,0.000,0.000,0.040,-0.016,-0.029,-0.007,-0.014,-0.002,0.010,-0.002,-0.029,0.008,0.031,0.031,0.007,0.010,0.012
Br,CdTe_0.5Se_0.5,M_Se,0.585,0.993,1.401,0.028,0.050,0.052,0.040,0.000,0.057,0.000,-0.001,0.010,-0.007,0.030,0.008,0.001,0.008,0.036,0.036,0.008,0.011,0.012
Cl,CdTe_0.5Se_0.5,M_Te,0.701,0.938,1.175,0.021,0.050,0.052,0.040,0.000,0.033,-0.031,-0.011,0.019,-0.016,0.036,0.021,-0.029,0.008,0.033,0.032,0.008,0.009,0.010
O,CdTe_0.5Se_0.5,M_Se,0.995,1.166,1.589,0.014,0.047,0.052,0.040,0.000,0.035,-0.021,-0.013,0.018,-0.018,0.012,0.017,0.021,0.033,0.008,0.011,0.011,0.012,0.014
Cd,CdTe_0.5Se_0.5,M_Te,1.543,2.492,3.441,0.035,0.035,0.052,0.040,0.000,-0.001,-0.005,0.001,0.000,-0.003,-0.043,-0.008,-0.003,-0.033,0.028,0.028,0.012,0.018,0.022
Cd,CdTe_0.5Se_0.5,M_i_Te_site,1.608,2.082,2.557,0.035,0.035,0.039,0.030,0.040,0.037,0.038,0.042,0.042,0.040,0.000,0.033,0.039,0.016,0.030,0.031,0.014,0.017,0.018
Cd,CdTe_0.5Se_0.5,M_i_Cd_site,1.738,2.212,2.687,0.035,0.035,0.013,0.040,0.030,0.037,0.038,0.042,0.042,0.040,0.000,0.033,0.039,0.016,0.035,0.035,0.017,0.020,0.021
Cd,CdTe_0.5Se_0.5,M_i_Se_site,1.797,2.271,2.745,0.035,0.035,0.039,0.030,0.040,0.037,0.038,0.042,0.042,0.040,0.000,0.033,0.039,0.016,0.035,0.035,0.014,0.017,0.018
Cd,CdTe_0.5Se_0.5,M_Se,1.882,3.001,4.120,0.035,0.035,0.052,0.040,0.000,0.017,0.011,0.007,-0.004,0.002,0.044,0.017,0.011,0.033,0.030,0.030,0.012,0.020,0.025
Cd,CdTe_0.5Se_0.5,M_i_old,2.213,2.687,3.161,0.035,0.035,0.026,0.030,0.030,0.037,0.038,0.042,0.042,0.040,0.000,0.033,0.039,0.016,0.034,0.034,0.020,0.023,0.023
Cu,CdTe_0.5Se_0.5,M_Cd,2.294,1.258,1.180,0.028,0.032,0.000,0.000,0.040,-0.009,-0.016,-0.007,-0.006,-0.006,0.027,0.004,-0.016,0.000,0.010,0.009,0.018,0.010,0.008
Se,CdTe_0.5Se_0.5,M_i_old,2.840,2.195,1.549,0.028,0.047,0.026,0.030,0.030,0.019,0.026,0.035,0.046,0.037,0.044,0.050,0.028,0.049,0.032,0.031,0.030,0.023,0.016
Se,CdTe_0.5Se_0.5,M_i_Cd_site,2.842,2.196,1.551,0.028,0.047,0.013,0.040,0.030,0.019,0.026,0.035,0.046,0.037,0.044,0.050,0.028,0.049,0.029,0.029,0.025,0.019,0.012
Te,CdTe_0.5Se_0.5,M_i_Cd_site,2.998,2.523,2.049,0.035,0.047,0.013,0.040,0.030,0.038,0.043,0.041,0.042,0.043,0.043,0.041,0.043,0.049,0.033,0.032,0.040,0.034,0.027
Se,CdTe_0.5Se_0.5,M_i_Te_site,3.364,2.719,2.073,0.028,0.047,0.039,0.030,0.040,0.019,0.026,0.035,0.046,0.037,0.044,0.050,0.028,0.049,0.031,0.031,0.026,0.020,0.013
Te,CdTe_0.5Se_0.5,M_Cd,3.586,2.638,1.689,0.035,0.047,0.000,0.000,0.040,0.001,0.005,-0.001,0.000,0.003,0.043,0.008,0.003,0.033,0.027,0.027,0.032,0.023,0.014
Te,CdTe_0.5Se_0.5,M_i_Te_site,3.689,3.214,2.740,0.035,0.047,0.039,0.030,0.040,0.038,0.043,0.041,0.042,0.043,0.043,0.041,0.043,0.049,0.032,0.032,0.031,0.026,0.020
Se,CdTe_0.5Se_0.5,M_i_Se_site,3.898,3.253,2.607,0.028,0.047,0.039,0.030,0.040,0.019,0.026,0.035,0.046,0.037,0.044,0.050,0.028,0.049,0.031,0.031,0.026,0.020,0.013
Te,CdTe_0.5Se_0.5,M_i_old,4.283,3.809,3.334,0.035,0.047,0.026,0.030,0.030,0.038,0.043,0.041,0.042,0.043,0.043,0.041,0.043,0.049,0.032,0.032,0.037,0.031,0.025
Te,CdTe_0.5Se_0.5,M_i_Se_site,4.311,3.837,3.363,0.035,0.047,0.039,0.030,0.040,0.038,0.043,0.041,0.042,0.043,0.043,0.041,0.043,0.049,0.037,0.036,0.031,0.026,0.019
Se,CdTe_0.5Se_0.5,M_Cd,4.587,3.467,2.348,0.028,0.047,0.000,0.000,0.040,-0.017,-0.011,-0.007,0.004,-0.002,0.044,0.017,-0.011,0.033,0.023,0.023,0.033,0.023,0.013
Br,CdSe_0.5S_0.5,M_Se,0.644,0.965,1.285,0.028,0.050,0.052,0.040,0.000,0.057,0.000,-0.001,0.010,-0.007,0.030,0.008,0.001,0.008,0.035,0.034,0.009,0.011,0.012
O,CdSe_0.5S_0.5,M_Se,0.742,0.738,1.380,0.014,0.047,0.052,0.040,0.000,0.035,-0.021,-0.013,0.018,-0.018,0.012,0.017,0.021,0.033,0.002,0.008,0.009,0.009,0.012
F,CdSe_0.5S_0.5,M_S,1.294,1.630,1.964,0.014,0.050,0.052,0.040,0.000,0.040,-0.004,-0.009,0.033,-0.015,0.029,0.027,-0.006,-0.041,0.024,0.024,0.010,0.012,0.013
Sc,CdSe_0.5S_0.5,M_Cd,1.380,1.865,2.350,0.028,0.009,0.000,0.000,0.040,-0.008,-0.023,0.001,-0.011,0.003,0.004,-0.006,-0.022,0.008,0.031,0.030,0.014,0.017,0.018
Cd,CdSe_0.5S_0.5,M_Se,1.991,3.125,4.258,0.035,0.035,0.052,0.040,0.000,0.017,0.011,0.007,-0.004,0.002,0.044,0.017,0.011,0.033,0.028,0.027,0.015,0.023,0.028
Cd,CdSe_0.5S_0.5,M_i_S_site,2.117,2.605,3.094,0.035,0.035,0.039,0.030,0.040,0.037,0.038,0.042,0.042,0.040,0.000,0.033,0.039,0.016,0.037,0.037,0.019,0.022,0.022
Cd,CdSe_0.5S_0.5,M_i_Cd_site,2.153,2.642,3.130,0.035,0.035,0.013,0.040,0.030,0.037,0.038,0.042,0.042,0.040,0.000,0.033,0.039,0.016,0.033,0.033,0.022,0.024,0.025
Cd,CdSe_0.5S_0.5,M_i_Se_site,2.189,2.678,3.166,0.035,0.035,0.039,0.030,0.040,0.037,0.038,0.042,0.042,0.040,0.000,0.033,0.039,0.016,0.038,0.038,0.021,0.023,0.024
Cd,CdSe_0.5S_0.5,M_S,2.238,3.387,4.534,0.035,0.035,0.052,0.040,0.000,0.026,0.027,0.012,-0.006,0.006,-0.046,-0.017,0.026,-0.033,0.029,0.029,0.016,0.023,0.028
Cd,CdSe_0.5S_0.5,M_i_old,2.480,2.969,3.457,0.035,0.035,0.026,0.030,0.030,0.037,0.038,0.042,0.042,0.040,0.000,0.033,0.039,0.016,0.037,0.036,0.026,0.028,0.028
Si,CdSe_0.5S_0.5,M_S,2.657,4.058,6.015,0.021,0.041,0.052,0.040,0.000,-0.001,-0.001,0.003,-0.010,0.001,-0.015,-0.013,-0.002,-0.016,0.015,0.014,0.019,0.028,0.038
Sb,CdSe_0.5S_0.5,M_Cd,2.674,1.914,2.047,0.035,0.044,0.000,0.000,0.040,-0.007,0.003,0.000,-0.002,0.003,0.023,0.007,0.002,0.025,0.035,0.034,0.024,0.017,0.016
Se,CdSe_0.5S_0.5,M_i_Cd_site,3.242,2.597,1.951,0.028,0.047,0.013,0.040,0.030,0.019,0.026,0.035,0.046,0.037,0.044,0.050,0.028,0.049,0.033,0.032,0.042,0.035,0.026
S,CdSe_0.5S_0.5,M_i_Cd_site,3.308,2.648,1.989,0.021,0.047,0.013,0.040,0.030,0.011,0.011,0.031,0.049,0.034,0.046,0.050,0.013,0.049,0.028,0.027,0.041,0.034,0.025
S,CdSe_0.5S_0.5,M_i_Se_site,4.459,3.799,3.140,0.021,0.047,0.039,0.030,0.040,0.011,0.011,0.031,0.049,0.034,0.046,0.050,0.013,0.049,0.025,0.028,0.031,0.025,0.017
S,CdSe_0.5S_0.5,M_i_S_site,4.463,3.804,3.144,0.021,0.047,0.039,0.030,0.040,0.011,0.011,0.031,0.049,0.034,0.046,0.050,0.013,0.049,0.026,0.026,0.031,0.024,0.017
S,CdSe_0.5S_0.5,M_i_old,4.507,3.848,3.188,0.021,0.047,0.026,0.030,0.030,0.011,0.011,0.031,0.049,0.034,0.046,0.050,0.013,0.049,0.027,0.027,0.035,0.028,0.020
Se,CdSe_0.5S_0.5,M_i_S_site,4.554,3.909,3.263,0.028,0.047,0.039,0.030,0.040,0.019,0.026,0.035,0.046,0.037,0.044,0.050,0.028,0.049,0.032,0.031,0.032,0.025,0.018
Se,CdSe_0.5S_0.5,M_i_old,4.564,3.919,3.273,0.028,0.047,0.026,0.030,0.030,0.019,0.026,0.035,0.046,0.037,0.044,0.050,0.028,0.049,0.032,0.031,0.037,0.030,0.022
Se,CdSe_0.5S_0.5,M_Cd,4.570,3.436,2.302,0.028,0.047,0.000,0.000,0.040,-0.017,-0.011,-0.007,0.004,-0.002,0.044,0.017,-0.011,0.033,0.022,0.021,0.038,0.028,0.017
Se,CdSe_0.5S_0.5,M_i_Se_site,4.595,3.950,3.304,0.028,0.047,0.039,0.030,0.040,0.019,0.026,0.035,0.046,0.037,0.044,0.050,0.028,0.049,0.031,0.031,0.033,0.026,0.019
S,CdSe_0.5S_0.5,M_Cd,5.092,3.944,2.796,0.021,0.047,0.000,0.000,0.040,-0.026,-0.027,-0.012,0.006,-0.006,0.046,0.017,-0.026,0.033,0.019,0.019,0.043,0.032,0.020